序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
68,688135,利扬芯片,37.8,6.99,2.47,245813.0,897470075.0,11.52,38.9,34.83,34.85,35.33,1.91,12.11,-543.38,7.1,7673712795.0,7673712795.0,0.77,0.69,85.11,88.34
69,603988,中电电机,31.24,6.91,2.02,266319.0,811074630.0,13.31,32.0,28.11,28.18,29.22,2.69,11.32,105.05,11.02,7347648000.0,7347648000.0,0.64,0.48,11.85,28.09
70,920037,XD广信科,91.68,6.77,5.81,15739.0,142892738.02,7.33,93.54,87.25,87.79,85.87,3.8,5.32,43.45,11.63,8385319405.0,2710455757.0,0.02,0.03,33.29,881.58
71,301421,波长光电,114.99,6.47,6.99,167130.0,1876610031.31,13.78,119.88,105.0,108.08,108.0,2.26,36.09,467.39,11.22,13306412820.0,5325012690.0,0.16,-0.18,43.61,114.65
72,300159,*ST新研,2.64,6.45,0.16,535466.0,140982115.04,8.06,2.72,2.52,2.52,2.48,2.46,3.64,-11.72,-9.09,3948505237.0,3885655496.0,0.38,0.38,-25.0,-4.35
73,002065,东华软件,12.06,6.44,0.73,4524420.0,5382549152.89,6.53,12.35,11.61,11.88,11.33,5.11,15.56,79.29,3.15,38658117443.0,35069535087.0,0.33,-0.33,25.76,67.27
74,002164,宁波东力,15.43,6.41,0.93,844723.0,1321887173.9,10.0,15.95,14.5,14.59,14.5,2.97,17.61,134.28,5.85,8211440021.0,7402931614.0,0.0,-0.58,67.54,207.98
75,603683,晶华新材,35.18,6.35,2.1,158390.0,560894116.0,8.74,36.39,33.5,33.5,33.08,2.36,6.12,135.21,6.48,10188221614.0,9104277547.0,-0.11,0.06,127.11,293.07
76,001332,锡装股份,55.87,6.34,3.33,52486.0,297580622.09,7.02,57.79,54.1,54.1,52.54,1.84,19.44,25.17,2.5,6173076300.0,1508490000.0,-0.64,-0.78,54.34,62.32
77,603085,天成自控,11.29,6.31,0.67,317197.0,358169003.0,8.66,11.67,10.75,10.75,10.62,7.1,7.99,96.33,5.26,4483259000.0,4483259000.0,-0.18,-0.44,-1.91,4.06
78,300565,科信技术,12.89,6.09,0.74,367630.0,484468074.21,13.58,13.8,12.15,12.27,12.15,11.66,16.11,-37.31,5.43,3218692449.0,2941564319.0,0.55,0.55,2.38,7.51
79,688200,华峰测控,200.2,6.05,11.42,35597.0,737308558.0,8.99,214.97,198.0,205.0,188.78,2.75,2.63,69.3,7.38,27133751645.0,27133751645.0,0.37,0.51,40.07,92.96
80,002703,浙江世宝,13.79,5.91,0.77,556790.0,747984228.57,9.37,13.97,12.75,13.03,13.02,1.95,9.5,60.97,5.71,11344100575.0,8081602940.0,0.22,-0.79,7.4,21.93
81,301609,山大电力,51.87,5.9,2.89,83500.0,429806781.01,7.96,52.75,48.85,49.1,48.98,7.23,24.03,85.63,7.08,8448585600.0,1802495156.0,-0.15,-0.17,253.82,253.82
82,002475,立讯精密,64.51,5.84,3.56,3880724.0,25559538147.16,5.0,67.05,64.0,67.05,60.95,4.07,5.36,35.21,6.31,467827560353.0,466979613173.0,0.09,0.16,86.93,59.05
83,600857,宁波中百,15.59,5.77,0.85,137229.0,205395847.0,10.04,15.87,14.39,15.0,14.74,6.5,6.12,99.15,4.05,3497147537.0,3497147537.0,0.19,-1.2,51.36,67.63
84,603699,纽威股份,42.09,5.75,2.29,86402.0,357570245.0,7.04,42.13,39.33,39.79,39.8,2.13,1.14,25.64,7.72,32641894685.0,31764897596.0,0.12,0.07,38.96,100.14
85,688719,爱科赛博,42.7,5.69,2.3,39156.0,165161087.0,6.93,43.01,40.21,40.48,40.4,3.81,4.42,-143.04,2.88,4926957349.0,3781835581.0,0.4,0.31,-2.95,51.74
86,300706,阿石创,47.3,5.63,2.52,167319.0,767809278.33,9.94,48.0,43.55,44.12,44.78,2.38,14.73,-122.83,10.24,7247329603.0,5372121103.0,-1.05,-0.27,103.53,96.67
87,870726,鸿智科技,21.19,5.58,1.12,48190.0,103283345.46,7.82,21.97,20.4,20.6,20.07,4.31,6.01,61.26,7.06,1872385207.0,1699064611.0,-0.24,-0.19,17.72,61.88
88,600157,永泰能源,1.71,5.56,0.09,20923872.0,3587427545.0,9.88,1.78,1.62,1.63,1.62,2.41,9.59,148.14,0.79,37308376688.0,37308376688.0,0.0,0.59,28.57,0.0
89,300680,隆盛科技,63.12,5.45,3.26,150321.0,939963580.64,7.0,64.2,60.01,60.21,59.86,1.5,8.55,68.62,7.52,14373438843.0,11098903397.0,0.88,1.33,68.91,165.66
90,688328,深科达,28.97,5.38,1.48,44480.0,125200637.0,5.93,28.98,27.35,27.53,27.49,2.34,4.71,66.4,3.28,2736398866.0,2736398866.0,2.73,3.17,25.96,93.39
91,605060,联德股份,27.28,5.25,1.36,32996.0,88999423.0,5.94,27.5,25.96,25.96,25.92,3.45,1.37,30.07,2.7,6563349760.0,6563349760.0,-0.04,-0.07,34.58,59.35
92,601008,连云港,6.04,5.23,0.3,847537.0,511180734.0,11.32,6.28,5.63,5.7,5.74,4.94,6.83,67.26,1.84,7493453556.0,7493453556.0,0.0,-0.17,-9.58,60.21
93,300554,三超新材,25.69,5.2,1.27,139502.0,363015453.53,12.57,27.56,24.49,24.58,24.42,6.18,17.63,-115.09,4.54,2934095413.0,2033073742.0,-0.31,-1.12,-7.12,17.31
94,833171,国航远洋,10.99,5.17,0.54,330334.0,362252937.16,12.25,11.49,10.21,10.35,10.45,3.15,11.73,-124.03,4.49,6103927908.0,3094503348.0,0.0,0.09,-16.04,81.65
95,000972,*ST中基,3.89,5.14,0.19,231283.0,89457736.68,3.78,3.89,3.75,3.75,3.7,1.63,3.0,-20.08,-29.39,3000293122.0,3000293122.0,0.0,0.0,10.2,38.93
96,002210,飞马国际,4.3,5.13,0.21,4140123.0,1740983261.79,12.96,4.5,3.97,4.01,4.09,2.2,15.59,2190.96,22.71,11443300928.0,11421903698.0,-0.23,0.94,38.26,61.65
97,002647,*ST仁东,7.5,5.04,0.36,29373.0,22029397.5,0.0,7.5,7.5,7.5,7.14,0.25,0.43,12.23,13.22,8477187428.0,5083019910.0,0.0,0.0,22.75,43.4
98,000691,*ST亚太,9.72,4.97,0.46,2956.0,2873543.04,0.0,9.72,9.72,9.72,9.26,0.07,0.09,-66.23,-35.46,3142184400.0,3142184400.0,0.0,0.0,127.63,183.38
99,603007,*ST花王,5.53,4.93,0.26,28611.0,15821900.0,0.0,5.53,5.53,5.53,5.27,0.39,0.57,-66.87,10.12,4849235439.0,2764064202.0,0.0,0.0,12.17,-45.03
100,002298,中电鑫龙,11.41,4.78,0.52,2037601.0,2359673848.56,6.89,11.98,11.23,11.65,10.89,5.68,30.84,227.55,4.14,8444665380.0,7538056572.0,0.09,0.09,68.54,114.47
101,601567,三星医疗,23.7,4.77,1.08,401408.0,949185968.0,5.66,23.95,22.67,22.78,22.62,5.45,2.86,13.54,2.74,33303462780.0,33303462780.0,-0.21,-0.29,7.34,-20.68
102,603283,赛腾股份,47.55,4.76,2.16,244245.0,1150057151.0,7.01,49.0,45.82,45.9,45.39,3.0,8.99,54.06,4.19,13246993634.0,12920134934.0,-0.13,-0.04,40.1,-3.41
103,300893,松原安全,30.41,4.54,1.32,63966.0,192212075.63,7.32,30.93,28.8,29.09,29.09,3.09,3.97,30.13,5.48,9722993284.0,4902201658.0,-0.46,-0.46,25.25,46.91
104,002916,深南电路,224.51,4.52,9.71,85494.0,1902997496.31,5.58,227.99,216.0,223.63,214.8,1.79,1.29,55.03,9.84,149689975885.0,149303782090.0,0.83,0.26,102.28,136.33
105,002941,新疆交建,17.61,4.51,0.76,456454.0,774260724.21,7.89,17.77,16.44,16.71,16.85,1.7,6.35,24.83,2.86,12648802005.0,12648802005.0,-0.23,0.74,59.37,59.8
106,300270,中威电子,9.07,4.49,0.39,275108.0,249923971.0,10.37,9.45,8.55,8.65,8.68,5.82,10.54,-35.14,4.84,2746450674.0,2366637349.0,-0.11,-0.11,15.54,26.85
107,002169,智光电气,7.53,4.44,0.32,706087.0,541648384.3,10.54,7.93,7.17,7.23,7.21,5.72,9.31,-53.43,2.23,5893761828.0,5712814972.0,0.13,-0.13,17.66,24.05
108,600173,卧龙新能,8.52,4.41,0.36,550851.0,456612642.0,11.52,8.8,7.86,8.05,8.16,1.21,7.86,36.59,1.56,5968313199.0,5967546399.0,-0.7,-0.81,44.16,115.15
109,003037,三和管桩,9.0,4.41,0.38,306133.0,272089504.61,6.61,9.19,8.62,8.62,8.62,6.69,5.11,40.57,1.93,5391672102.0,5391672102.0,0.11,0.11,26.76,22.95
110,600992,贵绳股份,14.83,4.36,0.62,136446.0,206217112.0,6.12,15.55,14.68,15.01,14.21,8.15,5.57,-46.98,2.57,3634684700.0,3634684700.0,0.0,-0.07,-6.14,0.2
111,003026,中晶科技,36.41,4.36,1.52,59671.0,212940727.7,11.64,37.58,33.52,34.88,34.89,4.92,6.24,91.69,7.26,4719427790.0,3484266310.0,0.5,0.25,-1.14,12.38
112,300207,欣旺达,31.4,4.32,1.3,1142613.0,3644892078.79,11.06,33.1,29.77,29.78,30.1,2.03,6.67,33.89,2.38,58010320804.0,53814488237.0,-0.13,-0.13,57.79,41.7
113,002698,博实股份,17.73,4.29,0.73,352802.0,623201451.82,5.41,18.0,17.08,17.08,17.0,3.65,4.19,32.68,4.76,18130004278.0,14918696644.0,0.11,0.0,13.87,5.85
114,605050,福然德,19.94,4.23,0.81,129874.0,254758651.0,6.74,20.09,18.8,19.08,19.13,1.03,2.64,32.04,2.3,9827013869.0,9827013869.0,0.05,0.0,45.97,113.26
115,601009,南京银行,10.9,4.21,0.44,903158.0,980148597.0,5.74,11.03,10.43,10.47,10.46,4.09,0.73,5.34,0.76,134762882971.0,134762882971.0,0.0,-0.09,-8.71,4.31
116,001311,多利科技,25.94,4.18,1.04,81042.0,208358518.21,6.22,26.35,24.8,24.85,24.9,2.0,10.28,25.59,1.77,8054612124.0,2045282594.0,0.66,0.39,25.5,34.27
117,603080,新疆火炬,23.28,4.16,0.93,77776.0,173896853.0,6.4,23.29,21.86,22.29,22.35,2.62,5.5,16.06,2.25,3294120000.0,3294120000.0,3.37,4.91,33.26,50.0
118,835174,五新隧装,62.56,4.16,2.5,41214.0,259512266.04,9.24,64.95,59.4,60.5,60.06,2.18,4.74,55.29,6.89,5630945398.0,5442767483.0,-0.19,-0.14,60.04,116.55
119,301038,深水规院,31.86,4.12,1.26,160365.0,515151428.19,7.39,33.26,31.0,31.0,30.6,3.84,7.19,-575.58,8.15,7107328800.0,7107328800.0,0.5,0.66,95.34,121.1
120,002549,凯美特气,23.77,4.07,0.93,1468529.0,3480848838.37,12.65,24.89,22.0,22.69,22.84,2.7,21.21,147.98,8.07,16528419607.0,16457385933.0,-0.25,-0.25,109.8,287.77
121,300410,正业科技,10.07,4.03,0.39,374417.0,377239566.06,7.33,10.34,9.63,9.63,9.68,2.89,10.2,113.77,15.8,3696846006.0,3696846006.0,-0.2,-0.2,33.2,87.17
122,001309,德明利,161.33,4.01,6.22,205356.0,3387685752.69,6.87,170.47,159.81,162.96,155.11,2.25,12.85,-155.17,15.54,36603562262.0,25776508171.0,0.15,0.14,90.79,159.92
